类型代码,类型名,公式代码,公式名,内置/自定义,参数个数,参数定义,错误,耗时ms,探测时间
0,技术指标,MACD,平滑异同平均线,内置,3,SHORT=12.0000(范围2.0000~200.0000); LONG=26.0000(范围2.0000~200.0000); MID=9.0000(范围2.0000~200.0000),,11,2026-06-30 02:45:15
0,技术指标,KDJ,随机指标,内置,3,N=9.0000(范围2.0000~90.0000); M1=3.0000(范围2.0000~30.0000); M2=3.0000(范围2.0000~30.0000),,11,2026-06-30 02:45:15
0,技术指标,BOLL,布林线,内置,1,M=20.0000(范围2.0000~999.0000),,11,2026-06-30 02:45:15
1,条件选股,UPN,连涨数天,内置,1,N=3.0000(范围1.0000~50.0000),,10,2026-06-30 02:45:15
2,专家系统,CCI,CCI专家系统,内置,1,N=14.0000(范围1.0000~100.0000),,7,2026-06-30 02:45:15
