代码,DIF,DEA,DIF-DEA,探测时间
000609.SZ,-0.258038,-0.334717,0.076679,2026-06-30 03:11:54
000513.SZ,-0.188934,-0.232151,0.043217000000000005,2026-06-30 03:11:54
000404.SZ,-0.118224,-0.133206,0.014981999999999995,2026-06-30 03:11:54
000668.SZ,1.156218,1.148154,0.008064000000000071,2026-06-30 03:11:54
000625.SZ,-0.415679,-0.423559,0.007879999999999998,2026-06-30 03:11:54
000768.SZ,-0.642017,-0.648304,0.0062870000000000426,2026-06-30 03:11:54
000759.SZ,0.164986,0.161891,0.0030949999999999867,2026-06-30 03:11:54
000089.SZ,-0.130843,-0.131046,0.00020300000000000873,2026-06-30 03:11:54
